"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: FiveWs Pattern Mapping","Mapping: RIM Mapping","Mapping: HL7 V2 Mapping"
"Specimen.type.text","Specimen.type.text","","","",0,1,"","","Y","string {[]} {[]}
","Plain text representation of the concept","A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.","Very often the text is the same as a displayName of one of the codings.","The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""Specimen Type""/>","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./originalText[mediaType/code=""text/plain""]/data","C*E.9. But note many systems use C*E.2 for this"
"Specimen.subject","Specimen.subject","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient], CanonicalType[http://hl7.org/fhir/StructureDefinition/Group], CanonicalType[http://hl7.org/fhir/StructureDefinition/Device], CanonicalType[http://hl7.org/fhir/StructureDefinition/BiologicallyDerivedProduct], CanonicalType[http://hl7.org/fhir/StructureDefinition/Substance], CanonicalType[http://hl7.org/fhir/StructureDefinition/Location]]}
","Where the specimen came from. This may be from patient(s), from a location (e.g., the source of an environmental sample), or a sampling of a substance, a biologically-derived product, or a device","Where the specimen came from. This may be from patient(s), from a location (e.g., the source of an environmental sample), or a sampling of a substance, a biologically-derived product, or a device.","","Must know the subject context.","","","","","","","",,,,,"",,,,"Specimen.subject",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","FiveWs.subject[x]",".scoper  or  .scoper.playsRole"
"Specimen.receivedTime","Specimen.receivedTime","","","",0,1,"Y","","Y","dateTime {[]} {[]}
","The time when specimen is received by the testing laboratory","Time when specimen is received by the testing laboratory for processing or testing.","","","","","","","","","",,,,,"",,,,"Specimen.receivedTime",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","FiveWs.done[x]",".participation[typeCode=SBJ].act[code=SPCREC, moodCode=EVN].effectiveTime","SPM-18"
"Specimen.parent","Specimen.parent","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Specimen]]}
","Specimen from which this specimen originated","Reference to the parent (source) specimen which is used when the specimen was either derived from or a component of another specimen.","The parent specimen could be the source from which the current specimen is derived by some processing step (e.g. an aliquot or isolate or extracted nucleic acids from clinical samples) or one of many specimens that were combined to create a pooled sample.","","","","","","","","",,,,,"",,,,"Specimen.parent",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".scoper (if parent) .player.scopesRole[classCode=SPEC].player (if child)"
"Specimen.request","Specimen.request","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ServiceRequest]]}
","Why the specimen was collected","Details concerning a service request that required a specimen to be collected.","The request may be explicit or implied such with a ServiceRequest that requires a blood draw.","","","","","","","","",,,,,"",,,,"Specimen.request",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","FiveWs.why[x]","outboundRelationship[typeCode=FLFS].target","ORC? OBR-2/3?"
"Specimen.combined","Specimen.combined","","","",0,1,"","","Y","code {[]} {[]}
","grouped | pooled","This element signifies if the specimen is part of a group or pooled.","","","","","","","","","",,"required","Codes for the combined status of a specimen.","http://hl7.org/fhir/ValueSet/specimen-combined|5.0.0","",,,,"Specimen.combined",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Specimen.role","Specimen.role","","","",0,*,"","","","CodeableConcept {[]} {[]}
","The role the specimen serves","The role or reason for the specimen in the testing workflow.","","","","","","","","","",,"preferred","Codes describing specimen role.","http://hl7.org/fhir/ValueSet/specimen-role","",,,,"Specimen.role",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","SPM-10"
"Specimen.feature","Specimen.feature","","","",0,*,"","","","BackboneElement {[]} {[]}
","The physical feature of a specimen","A physical feature or landmark on a specimen, highlighted for context by the collector of the specimen (e.g. surgeon), that identifies the type of feature as well as its meaning (e.g. the red ink indicating the resection margin of the right lobe of the excised prostate tissue or wire loop at radiologically suspected tumor location).","","","","","","","","","",,,,,"",,,,"Specimen.feature",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".player.scopingRole[classCode=FEAT].scoper"
"Specimen.feature.id","Specimen.feature.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"Specimen.feature.extension","Specimen.feature.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Specimen.feature.modifierExtension","Specimen.feature.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"Specimen.feature.type","Specimen.feature.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Highlighted feature","The landmark or feature being highlighted.","","","","","","","","","",,"example","SNOMED CT Body site concepts","http://hl7.org/fhir/ValueSet/body-site","",,,,"Specimen.feature.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","FiveWs.what[x]",".code"
"Specimen.feature.description","Specimen.feature.description","","","",1,1,"","","","string {[]} {[]}
","Information about the feature","Description of the feature of the specimen.","","","","","","","","","",,,,,"",,,,"Specimen.feature.description",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".text"
"Specimen.collection","Specimen.collection","","","",0,1,"","","","BackboneElement {[]} {[]}
","Collection details","Details concerning the specimen collection.","","","","","","","","","",,,,,"",,,,"Specimen.collection",0,1,"","",".participation[typeCode=SBJ].act[classCode=SPECCOLLECT, moodCode=EVN]","SPM-14"
"Specimen.collection.id","Specimen.collection.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"Specimen.collection.extension","Specimen.collection.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Specimen.collection.modifierExtension","Specimen.collection.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"Specimen.collection.collector","Specimen.collection.collector","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole], CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson]]}
","Who collected the specimen","Person who collected the specimen.","","","","","","","","","",,,,,"",,,,"Specimen.collection.collector",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","FiveWs.actor",".participation[typeCode=PFM].role","PRT"
"Specimen.collection.collected[x]","Specimen.collection.collected[x]","","","",0,1,"","","Y","dateTime {[]} {[]}
Period {[]} {[]}","Collection time","Time when specimen was collected from subject - the physiologically relevant time.","","","","","","","","","",,,,,"","type:$this}
","",,"open","Specimen.collection.collected[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","FiveWs.init",".effectiveTime","SPM-17"
"Specimen.collection.collected[x]:collectedDateTime","Specimen.collection.collected[x]","collectedDateTime","","",0,1,"Y","","Y","dateTime {[]} {[]}
","Collection time","Time when specimen was collected from subject - the physiologically relevant time.","","","","","","","","","",,,,,"",,,,"Specimen.collection.collected[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","FiveWs.init",".effectiveTime","SPM-17"
"Specimen.collection.duration","Specimen.collection.duration","","","",0,1,"","","Y","Duration {[]} {[]}
","How long it took to collect specimen","The span of time over which the collection of a specimen occurred.","","","","","","","","","",,,,,"",,,,"Specimen.collection.duration",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","FiveWs.init"
"Specimen.collection.quantity","Specimen.collection.quantity","","","",0,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","The quantity of specimen collected","The quantity of specimen collected; for instance the volume of a blood sample, or the physical measurement of an anatomic pathology sample.","","","","","","","","","",,,,,"",,,,"Specimen.collection.quantity",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".participation[typeCode=SBJ].role[classCode=SPEC].player.quantity","SPM-12"
"Specimen.collection.method","Specimen.collection.method","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Technique used to perform collection","A coded value specifying the technique that is used to perform the procedure.","","","","","","","","","",,"example","The  technique that is used to perform the procedure.","http://hl7.org/fhir/ValueSet/specimen-collection-method","",,,,"Specimen.collection.method",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".methodCode","SPM-7"
"Specimen.collection.device","Specimen.collection.device","","","",0,1,"","","","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Device]]}
","Device used to perform collection","A coded value specifying the technique that is used to perform the procedure.","","","","","","","","","",,"example","The device that was used to obtain the specimen (e.g. a catheter or catheter part used to draw the blood via a central line).","","",,,,"Specimen.collection.device",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","participation[typeCode=DEV]","SPM-14"
"Specimen.collection.procedure","Specimen.collection.procedure","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Procedure]]}
","The procedure that collects the specimen","The procedure event during which the specimen was collected (e.g. the surgery leading to the collection of a pathology sample).","","","","","","","","","",,,,,"",,,,"Specimen.collection.procedure",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Specimen.collection.bodySite","Specimen.collection.bodySite","","","",0,1,"","","","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/BodyStructure]]}
","Anatomical collection site","Anatomical location from which the specimen was collected (if subject is a patient). This is the target site.  This element is not used for environmental specimens.","Reasons for using BodyStructure reference include: 1.) Need to identify a specific site instance (e.g. a specific mole), 2.) a single pre-coordinated coded concept for the body site does not exist, 3.) a desire to represent bodySite using multiple attributes (e.g. modifiers).","","","","","","","","",,"example","SNOMED CT Body site concepts","http://hl7.org/fhir/ValueSet/body-site","",,,,"Specimen.collection.bodySite",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".targetSiteCode","SPM-8 and SPM-9"
"Specimen.collection.fastingStatus[x]","Specimen.collection.fastingStatus[x]","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
Duration {[]} {[]}","Whether or how long patient abstained from food and/or drink","Abstinence or reduction from some or all food, drink, or both, for a period of time prior to sample collection.","Representing fasting status using this element is preferred to representing it with an observation using a 'pre-coordinated code'  such as  LOINC 2005-7 (Calcium [Moles/​time] in 2 hour Urine --12 hours fasting), or  using  a component observation ` such as `Observation.component code`  = LOINC 49541-6 (Fasting status - Reported).","Many diagnostic tests require fasting  to facilitate accurate interpretation.","","","","","","","",,"extensible","Codes describing the fasting status of the patient.","http://terminology.hl7.org/ValueSet/v2-0916","",,,,"Specimen.collection.fastingStatus[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","OBR-"
"Specimen.processing","Specimen.processing","","","",0,1,"Y","","","BackboneElement {[]} {[]}
","Processing and processing step details","Details concerning processing and processing steps for the specimen.","","","","","","","","","",,,,,"",,,,"Specimen.processing",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".participation[typeCode=SBJ].act[code=SPCTRT, moodCode=EVN]"
"Specimen.processing.id","Specimen.processing.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"Specimen.processing.extension","Specimen.processing.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Specimen.processing.modifierExtension","Specimen.processing.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"Specimen.processing.description","Specimen.processing.description","","","",0,1,"","","","string {[]} {[]}
","Textual description of procedure","Textual description of procedure.","","","","","","","","","",,,,,"",,,,"Specimen.processing.description",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".text"
"Specimen.processing.method","Specimen.processing.method","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Indicates the treatment step  applied to the specimen","A coded value specifying the method used to process the specimen.","","","","","","","","","",,"example","Type indicating the technique used to process the specimen.","http://hl7.org/fhir/ValueSet/specimen-processing-method","",,,,"Specimen.processing.method",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".code"
"Specimen.processing.additive","Specimen.processing.additive","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Substance]]}
","Material used in the processing step","Material used in the processing step.","","","","","","","","","",,,,,"",,,,"Specimen.processing.additive",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".participation[typeCode=CSM].role[classCode=ADTV].code","SPM-6"
"Specimen.processing.time[x]","Specimen.processing.time[x]","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of specimen processing","A record of the time or period when the specimen processing occurred.  For example the time of sample fixation or the period of time the sample was in formalin.","","","","","","","","","",,,,,"","type:$this}
","",,"closed","Specimen.processing.time[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".effectiveTime"
"Specimen.processing.time[x]:timeDateTime","Specimen.processing.time[x]","timeDateTime","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of specimen processing","A record of the time or period when the specimen processing occurred.  For example the time of sample fixation or the period of time the sample was in formalin.","","","","","","","","","",,,,,"",,,,"Specimen.processing.time[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".effectiveTime"
"Specimen.container","Specimen.container","","","",0,*,"","","","BackboneElement {[]} {[]}
","Direct container of specimen (tube/slide, etc.)","The container holding the specimen.  The recursive nature of containers; i.e. blood in tube in tray in rack is not addressed here.","","","","","","","","","",,,,,"",,,,"Specimen.container",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".player.scopingRole[classCode=CONT].scoper"
"Specimen.container.id","Specimen.container.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"Specimen.container.extension","Specimen.container.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Specimen.container.modifierExtension","Specimen.container.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"Specimen.container.device","Specimen.container.device","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Device]]}
","Device resource for the container","The device resource for the the container holding the specimen. If the container is in a holder then the referenced device will point to a parent device.","","","","","","","","","",,,,,"",,,,"Specimen.container.device",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","participation[typeCode=DEV]"
"Specimen.container.location","Specimen.container.location","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Location]]}
","Where the container is","The location of the container holding the specimen.","","","","","","","","","",,,,,"",,,,"Specimen.container.location",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","FiveWs.where[x]",".participation[typeCode=LOC].role"
"Specimen.container.specimenQuantity","Specimen.container.specimenQuantity","","","",0,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","Quantity of specimen within container","The quantity of specimen in the container; may be volume, dimensions, or other appropriate measurements, depending on the specimen type.","","","","","","","","","",,,,,"",,,,"Specimen.container.specimenQuantity",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".playedRole[classCode=CONT].quantity","SAC-23 (value) SAC-24 (units"
"Specimen.condition","Specimen.condition","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","State of the specimen","A mode or state of being that describes the nature of the specimen.","Specimen condition is an observation made about the specimen.  It's a point-in-time assessment.  It can be used to assess its quality or appropriateness for a specific test.","The specimen condition can be used to assess its quality or appropriateness for a specific test.","","","","","","","",,"extensible","Codes describing the state of the specimen.","http://terminology.hl7.org/ValueSet/v2-0493","",,,,"Specimen.condition",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","SPM-24"
"Specimen.note","Specimen.note","","","",0,*,"Y","","","Annotation {[]} {[]}
","Comments","To communicate any details or issues about the specimen or during the specimen collection. (for example: broken vial, sent with patient, frozen).","","","","","","","","","",,,,,"",,,,"Specimen.note",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".inboundRelationship[typeCode=SUBJ].source[classCode=OBS, moodCode=EVN, code=""annotation""].value","OBX"
