"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: HL7 v2 Mapping","Mapping: RIM Mapping","Mapping: FiveWs Pattern Mapping"
"SpecimenDefinition.typeTested.container.modifierExtension","SpecimenDefinition.typeTested.container.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4B/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"SpecimenDefinition.typeTested.container.material","SpecimenDefinition.typeTested.container.material","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Container material","The type of material of the container.","","","","","","","","","",,"example","SCT 32039001 |Glass|, 61088005 |Plastic|, 425620007 |Metal|","http://hl7.org/fhir/ValueSet/container-material","",,,,"SpecimenDefinition.typeTested.container.material",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SpecimenDefinition.typeTested.container.type","SpecimenDefinition.typeTested.container.type","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Kind of container associated with the kind of specimen","The type of container used to contain this kind of specimen.","","","","","","","","","",,"example","SCT descendants of 706041008 |Device for body fluid and tissue collection/transfer/processing (physical object)|","http://hl7.org/fhir/ValueSet/specimen-container-type","",,,,"SpecimenDefinition.typeTested.container.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SpecimenDefinition.typeTested.container.cap","SpecimenDefinition.typeTested.container.cap","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Color of container cap","Color of container cap.","","From ISO 6710-2017 Table F.1 Recommended colour codes.","","","","","","","",,"example","Color of the container cap.","http://hl7.org/fhir/ValueSet/container-cap","",,,,"SpecimenDefinition.typeTested.container.cap",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SpecimenDefinition.typeTested.container.description","SpecimenDefinition.typeTested.container.description","","","",0,1,"","","","string {[]} {[]}
","Container description","The textual description of the kind of container.","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""Blue top tube with citrate""/>","","",,,,,"",,,,"SpecimenDefinition.typeTested.container.description",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","OM4-3"
"SpecimenDefinition.typeTested.container.capacity","SpecimenDefinition.typeTested.container.capacity","","","",0,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","Container capacity","The capacity (volume or other measure) of this kind of container.","","","","","","","","","",,,,,"",,,,"SpecimenDefinition.typeTested.container.capacity",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","OM4-4, OM4-5"
"SpecimenDefinition.typeTested.container.minimumVolume[x]","SpecimenDefinition.typeTested.container.minimumVolume[x]","","","",0,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
string {[]} {[]}","Minimum volume","The minimum volume to be conditioned in the container.","","","","","","","","","",,,,,"",,,,"SpecimenDefinition.typeTested.container.minimumVolume[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","OM4-11"
"SpecimenDefinition.typeTested.container.additive","SpecimenDefinition.typeTested.container.additive","","","",0,*,"","","","BackboneElement {[]} {[]}
","Additive associated with container","Substance introduced in the kind of container to preserve, maintain or enhance the specimen. Examples: Formalin, Citrate, EDTA.","","","","","","","","","",,,,,"",,,,"SpecimenDefinition.typeTested.container.additive",0,*,"","ele-1:All FHIR elements must have a @value or children unless an empty Parameters resource {hasValue() or (children().count() > id.count()) or $this is Parameters}
","OM4-7"
"SpecimenDefinition.typeTested.container.additive.id","SpecimenDefinition.typeTested.container.additive.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"SpecimenDefinition.typeTested.container.additive.extension","SpecimenDefinition.typeTested.container.additive.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"SpecimenDefinition.typeTested.container.additive.modifierExtension","SpecimenDefinition.typeTested.container.additive.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4B/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"SpecimenDefinition.typeTested.container.additive.additive[x]","SpecimenDefinition.typeTested.container.additive.additive[x]","","","",1,1,"","","","CodeableConcept {[]} {[]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Substance]]}","Additive associated with container","Substance introduced in the kind of container to preserve, maintain or enhance the specimen. Examples: Formalin, Citrate, EDTA.","","","","","","","","","",,"example","Substance added to specimen container.","http://terminology.hl7.org/ValueSet/v2-0371","",,,,"SpecimenDefinition.typeTested.container.additive.additive[x]",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","OM4-7"
"SpecimenDefinition.typeTested.container.preparation","SpecimenDefinition.typeTested.container.preparation","","","",0,1,"","","","string {[]} {[]}
","Specimen container preparation","Special processing that should be applied to the container for this kind of specimen.","","","","","","","","","",,,,,"",,,,"SpecimenDefinition.typeTested.container.preparation",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","OM4-8"
"SpecimenDefinition.typeTested.requirement","SpecimenDefinition.typeTested.requirement","","","",0,1,"","","","string {[]} {[]}
","Specimen requirements","Requirements for delivery and special handling of this kind of conditioned specimen.","","","","","","","","","",,,,,"",,,,"SpecimenDefinition.typeTested.requirement",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","OM4-12"
"SpecimenDefinition.typeTested.retentionTime","SpecimenDefinition.typeTested.retentionTime","","","",0,1,"","","","Duration {[]} {[]}
","Specimen retention time","The usual time that a specimen of this kind is retained after the ordered tests are completed, for the purpose of additional testing.","","","","","","","","","",,,,,"",,,,"SpecimenDefinition.typeTested.retentionTime",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","OM4-14"
"SpecimenDefinition.typeTested.rejectionCriterion","SpecimenDefinition.typeTested.rejectionCriterion","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Rejection criterion","Criterion for rejection of the specimen in its container by the laboratory.","","","","","","","","","",,"example","Criterion for rejection of the specimen by laboratory.","http://hl7.org/fhir/ValueSet/rejection-criteria","",,,,"SpecimenDefinition.typeTested.rejectionCriterion",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","OM1-39"
"SpecimenDefinition.typeTested.handling","SpecimenDefinition.typeTested.handling","","","",1,*,"","","","BackboneElement {[]} {[]}
","Specimen handling before testing","Set of instructions for preservation/transport of the specimen at a defined temperature interval, prior the testing process.","","","","","","","","","",,,,,"",,,,"SpecimenDefinition.typeTested.handling",0,*,"",""
"SpecimenDefinition.typeTested.handling.id","SpecimenDefinition.typeTested.handling.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"SpecimenDefinition.typeTested.handling.extension","SpecimenDefinition.typeTested.handling.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"SpecimenDefinition.typeTested.handling.modifierExtension","SpecimenDefinition.typeTested.handling.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4B/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"SpecimenDefinition.typeTested.handling.temperatureQualifier","SpecimenDefinition.typeTested.handling.temperatureQualifier","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Temperature qualifier","It qualifies the interval of temperature, which characterizes an occurrence of handling. Conditions that are not related to temperature may be handled in the instruction element.","","","","","","","","","",,"example","Set of handling instructions prior testing of the specimen.","http://hl7.org/fhir/ValueSet/handling-condition","",,,,"SpecimenDefinition.typeTested.handling.temperatureQualifier",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","OM4-15"
"SpecimenDefinition.typeTested.handling.temperatureRange","SpecimenDefinition.typeTested.handling.temperatureRange","","","",1,1,"","","","Range {[]} {[]}
","Temperature range","The temperature interval for this set of handling instructions.","","","","","","","","","",,,,,"",,,,"SpecimenDefinition.typeTested.handling.temperatureRange",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SpecimenDefinition.typeTested.handling.temperatureRange.id","SpecimenDefinition.typeTested.handling.temperatureRange.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"SpecimenDefinition.typeTested.handling.temperatureRange.extension","SpecimenDefinition.typeTested.handling.temperatureRange.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"SpecimenDefinition.typeTested.handling.temperatureRange.low","SpecimenDefinition.typeTested.handling.temperatureRange.low","","","",1,1,"","","Y","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","Low limit","The low limit. The boundary is inclusive.","If the low element is missing, the low boundary is not known.","","","","","","","","",,,,,"",,,,"Range.low",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","NR.1","./low"
"SpecimenDefinition.typeTested.handling.temperatureRange.high","SpecimenDefinition.typeTested.handling.temperatureRange.high","","","",1,1,"","","Y","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","High limit","The high limit. The boundary is inclusive.","If the high element is missing, the high boundary is not known.","","","","","","","","",,,,,"",,,,"Range.high",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","NR.2","./high"
"SpecimenDefinition.typeTested.handling.maxDuration","SpecimenDefinition.typeTested.handling.maxDuration","","","",1,1,"","","","Duration {[]} {[]}
","Maximum preservation time","The maximum time interval of preservation of the specimen with these conditions.","","","","","","","","","",,,,,"",,,,"SpecimenDefinition.typeTested.handling.maxDuration",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SpecimenDefinition.typeTested.handling.instruction","SpecimenDefinition.typeTested.handling.instruction","","","",0,1,"Y","","","string {[]} {[]}
","Preservation instruction","Additional textual instructions for the preservation or transport of the specimen. For instance, 'Protect from light exposure'.","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""freeze within 4 hours""/>","","",,,,,"",,,,"SpecimenDefinition.typeTested.handling.instruction",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
